synset_id,"synset_word",anto_gender_id,"anto_gender_word"
4265,"छोरा",4409,"छोरी"
5896,"लड़का",10881,"लड़की"
5896,"छोकरा",10881,"छोकरी"
10881,"लड़की",5896,"लड़का"
10881,"छोकरी",5896,"छोकरा"
6482,"शाहज़ादा",6741,"शाहज़ादी"
6482,"शाहजादा",6741,"शाहजादी"
6482,"शहजादा",6741,"शहजादी"
6741,"शाहज़ादी",6482,"शाहज़ादा"
6741,"शाहजादी",6482,"शाहजादा"
6741,"शहजादी",6482,"शहजादा"
4673,"साला",7307,"साली"
4673,"साला",6063,"सरहज"
4673,"सार",6063,"सरहज"
7307,"साली",4673,"साला"
6063,"सलहज",4673,"साला"
6063,"सरहज",4673,"सार"
6513,"मगुरी",6515,"मगुरा"
6513,"मंगुरी",6515,"मंगुरा"
6515,"मगुरा",6513,"मगुरी"
6515,"मंगुरा",6513,"मंगुरी"
6913,"धर्म पिता",7008,"धर्म माता"
6913,"धर्मपिता",7008,"धर्ममाता"
6913,"गाड फादर",7008,"गाड मदर"
6689,"पनडुब्बी",22812,"पनडुब्बा"
6689,"पनडुबी",22812,"पनडुबा"
6869,"बूढ़ा",1191,"बुढ़िया"
6869,"वृद्ध पुरूष",1191,"वृद्ध स्त्री"
6869,"बूढ़ा",1191,"बूढ़ी"
6869,"बुजुर्ग",1191,"बुजुर्गिन"
6869,"बुज़ुर्ग",1191,"बुज़ुर्गिन"
6869,"वृद्ध",1191,"वृद्धा"
6869,"बुड्ढा",1191,"बुड्ढी"
6869,"स्यान",1191,"स्यानिन"
7515,"मुर्गा",9836,"मुर्गी"
7515,"मुरगा",9836,"मुरगी"
7515,"कुक्कुट",9836,"कुक्कुटी"
9836,"मुर्गी",7515,"मुर्गा"
9836,"मुरगी",7515,"मुरगा"
9836,"कुक्कुटी",7515,"कुक्कुट"
7143,"वैश्य",7126,"महिला वैश्य"
7143,"बनिया",7126,"बनियाइन"
7143,"बनिया",7146,"बनियाइन"
7126,"बनियाइन",7143,"बनिया"
7194,"भानजा",7195,"भानजी"
7194,"भांजा",7195,"भांजी"
7194,"भागिनेय",7195,"भागिनेया"
7194,"बहनौता",7195,"बहनौती"
7195,"भानजी",7194,"भानजा"
7195,"भांजी",7194,"भांजा"
7195,"बहनौती",7194,"बहनौता"
7195,"भागिनेया",7194,"भागिनेय"
7199,"वीर स्त्री",1768,"वीर पुरुष"
7199,"शेरनी",1768,"शेर"
7199,"वीरा",1768,"वीर"
7255,"किशोरी",4364,"किशोर"
7267,"परपोता",7183,"परपोती"
7267,"पड़पोता",7183,"पड़पोती"
7267,"प्रपौत्र",7183,"प्रपौत्री"
7183,"परपोती",7267,"परपोता"
7183,"पड़पोती",7267,"पड़पोता"
7183,"प्रपौत्री",7267,"प्रपौत्र"
7285,"बिलाव",29592,"बिलारी"
7285,"बिल्ला",29592,"बिल्ली"
7285,"मार्जार",29592,"मार्जारी"
7299,"बुआ",9550,"फूफा"
7299,"फूफी",9550,"फूफा"
9550,"फूफा",7299,"बुआ"
9550,"फूफा",7299,"फूफी"
7379,"भतीजा",1804,"भतीजी"
7379,"भ्रातृज",1804,"भ्रातृजा"
7407,"जेठानी",3535,"जेठ"
9158,"देवरानी",6238,"देवर"
7408,"भाभी",82,"भैया"
7408,"भौजाई",82,"भइया"
7408,"भावज",82,"अग्रज"
7475,"कुटनी",6123,"कुटना"
8118,"पाड़ा",9352,"पाड़ी"
10772,"बछड़ा",10773,"बछिया"
10772,"बाछा",10773,"बाछी"
10772,"बछेड़ा",10773,"बछेड़ी"
10773,"बछिया",10772,"बछेड़ा"
10773,"बाछी",10772,"बाछा"
10773,"बछेड़ी",10772,"बछेड़ा"
5589,"युवक",7796,"युवती"
7796,"युवती",5589,"युवक"
6157,"सेविका",1741,"सेवक"
6157,"दासी",1741,"दास"
6157,"नौकरानी",1741,"नौकर"
6157,"अनुचरी",1741,"अनुचर"
7639,"माली",9790,"मालिन"
7750,"मौसा",4665,"मौसी"
7750,"खालू",4665,"खाला"
7750,"ख़ालू",4665,"ख़ाला"
7845,"लोहार",7876,"लोहारिन"
7845,"लोहार",1395,"लोहारिन"
7876,"लुहारिन",7845,"लुहार"
7876,"लोहारिन",7845,"लोहार"
7876,"लोहारन",7845,"लोहार"
7876,"लुहारन",7845,"लुहार"
7876,"लुहारी",7845,"लुहार"
7876,"लोहारी",7845,"लोहार"
7948,"ठगनी",5761,"ठग"
7980,"विधुर",7334,"विधवा"
7980,"रँडुआ",7334,"राँड"
7364,"भक्त",28839,"भक्तिन"
7364,"पुजारी",28839,"पुजारिन"
7364,"उपासक",28839,"उपासिका"
7364,"पुजेरी",28839,"पुजेरिन"
8355,"परनानी",9387,"परनाना"
8355,"प्रमातामही",9387,"प्रमातामह"
8355,"पड़नानी",9387,"पड़नाना"
9387,"परनाना",8355,"परनानी"
9387,"प्रमातामह",8355,"प्रमातामही"
9387,"पड़नाना",8355,"पड़नानी"
9410,"पहलौठा",9431,"पहलौठी"
9410,"पहलौंठा",9431,"पहलौंठी"
9410,"पहलौटा",9431,"पहलौटी"
9512,"प्राध्यापक",21018,"प्राध्यापिका"
8049,"राक्षसी",3165,"राक्षस"
8049,"निशाचरी",3165,"निशाचर"
9663,"भिखमंगिन",6974,"भिखमंगा"
9663,"भिखारिन",6974,"भिखारी"
9663,"भिखमंगी",6974,"भिखमंगा"
6974,"भिखमंगा",9663,"भिखमंगिन"
6974,"भिखारी",9663,"भिखारिन"
9684,"भौंरी",4794,"भौंरा"
9684,"भँवरी",4794,"भँवरा"
9684,"भ्रमरी",4794,"भ्रमर"
9723,"जलपरी",8867,"जलमानुष"
9723,"जलकन्या",8867,"जलमनुष्य"
8867,"जलमानुष",9723,"जलपरी"
8867,"जलमनुष्य",9723,"जलकन्या"
9733,"मनिहार",9734,"मनिहारिन"
9733,"चुड़िहार",9734,"चुड़िहारिन"
9733,"चुड़िहारा",9734,"चुड़िहारी"
9733,"मनिहारा",9734,"मनिहारी"
9734,"मनिहारिन",9733,"मनिहार"
9734,"चुड़िहारिन",9733,"चुड़िहार"
9734,"मनिहारी",9733,"मनिहारा"
9734,"चुड़िहारी",9733,"चुड़िहारा"
9783,"मामा",9784,"मामी"
9784,"मामी",9783,"मामा"
9790,"मालिन",7639,"माली"
9793,"मालकिन",2755,"मालिक"
9793,"स्वामिनी",2755,"स्वामी"
9878,"यक्ष",22327,"यक्षिणी"
9878,"यक्ष",22327,"यक्षी"
9878,"यक्ष",22327,"यक्षन"
9878,"यक्ष",22328,"यक्षिणी"
9878,"यक्ष",22328,"यक्षी"
9878,"यक्ष",22328,"यक्षन"
9999,"लेखिका",7790,"लेखक"
7790,"लेखक",9999,"लेखिका"
8413,"हजाम",9983,"हजामिन"
8413,"नाई",9983,"नाईन"
8413,"नाऊ",9983,"नाउन"
9983,"हजामिन",8413,"हजाम"
9983,"नाईन",8413,"नाई"
9983,"नाउन",8413,"नाऊ"
8464,"सिंहनी",30553,"सिंह"
8464,"सिंहिनी",30553,"सिंह"
8711,"घसियारा",12031,"घसियारी"
8711,"घसियारा",12031,"घसियारिन"
8848,"नानस",9222,"नानसरा"
8848,"ननिया सास",9222,"ननिया ससुर"
8909,"टिड्डी",9966,"टिड्डा"
8923,"ठगनी",5761,"ठग"
8923,"ठगिन",5761,"ठग"
8923,"ठगिनी",5761,"ठग"
10125,"श्रीमती",10126,"श्रीमान्"
10126,"श्रीमान्",10125,"श्रीमती"
10178,"समधी",9199,"समधिन"
